CellType	Log10PValue	Tissue.Specific.Genes	fold.change	Tissue	Genes
fFB1	9.62892672350456	15	10.9876471946433	Fetal Fibroblasts Cluster 1	COL1A1;MDK;SPARC;FN1;CCND2;TGFBI;MATN2;CKAP4;CRABP2;IGFBP3;SERPINH1;COL1A2;CTHRC1;COL3A1;DIO3
dP1	7.52673245085372	11	12.0440034512511	Decidua Perivascular cells Cluster 1	MYL9;ACTA2;COL1A1;CPE;SPARC;IGFBP5;WNT6;CNN3;IGFBP7;COL1A2;COL4A1
EVT	6.6209092568573	11	9.53483606557377	Extravillous trophoblast	TFPI;PTN;KRT18;FN1;PAPPA2;C1QTNF6;TPM1;IMPA2;KRT8;KRT19;HSD3B1
dS2	5.31171694475519	8	11.0950819672131	Stromal cells Cluster 2	FBLN1;MMP2;TIMP3;IGFBP2;IGFBP5;RAMP1;LUM;IGFBP3
dP2	4.73711448740408	6	14.8594847775176	Decidua Perivascular cells Cluster 2	MYL9;ACTA2;COL1A1;APOE;COL1A2;SELENOM
dS3	4.45817634791522	8	8.00126103404792	Stromal cells Cluster 3	MGST1;CD59;TIMP3;PDLIM1;IGFBP2;RAMP1;LUM;SELENOM
fFB2	4.45817634791522	9	6.78367783321454	Fetal Fibroblasts Cluster 2	PTN;COL1A1;SPARC;CKAP4;SERPINH1;COL1A2;CTHRC1;COL3A1;COL4A1
SCT	3.18554188935747	9	4.58895853423337	Syncytiotrophoblast	TFPI2;KRT18;ANXA1;CGA;PLIN2;SPINT2;KRT8;KRT19;HSD3B1
dS1	2.31933351028335	4	8.32131147540984	Stromal cells Cluster 1	ACTA2;IGFBP5;RAMP1;TAGLN
Epi2	1.34065365171908	5	3.51406734603456	Epithelial glandular cells Cluster 2	MGST1;FBLN1;GABRP;DMKN;SFN
dM3	1.25360740603996	3	5.28896915809947	Decidual macrophages Cluster 3	GRN;SPP1;APOE
Endo..f.	1.082128182321	4	3.38264694122351	Endothelial cells (Fetal)	TFPI2;HSPG2;S100A16;DIO3
Endo.L	0.849268636238186	3	3.42911187173482	Endothelial cells (L)	TFPI;CD9;S100A16
Endo..m.	0.571365196822519	3	2.51652564780539	Endothelial cells (Maternal)	CPE;HSPG2;IGFBP7
HB	0.433664936663275	2	2.66708701134931	Hofbauer cells	FCGRT;SPP1
Epi1	0.313714452121162	2	2.12278353964537	Epithelial glandular cells Cluster 1	DMKN;S100A13
VCT	0.182396271118907	2	1.62525614754098	Villous cytotrophoblast	SPINT2;KRT8
dNK1	0.100988504575603	1	1.70518677774792	Decidual natural killer Cluster 1	IL32
dNK.p	0.0996506739533128	1	1.57600596125186	Decidual natural killer proliferative	STMN1
dM1	0.0953060310141201	1	1.44467213114754	Decidual macrophages Cluster 1	TREM1
dM2	0	0	0	Decidual macrophages Cluster 2	
NK.CD16..1	0	0	0	Blood Natural Killer Cells CD16+	
dNK3	0	0	0	Decidual natural killer Cluster 3	
NK.CD16.	0	0	0	Blood Natural Killer Cells CD16-	
Plasma	0	0	0	Plasma	
Tcells	0	0	0	T cells	
MO	0	0	0	Macrophages	
DC1	0	0	0	Dendritic cells Cluster 1	
DC2	0	0	0	Dendritic cells Cluster 2	
Granulocytes	0	0	0	Granulocytes	
ILC3	0	0	0	Innate lymphocyte cells 3	
dNK2	0	0	0	Decidual natural killer Cluster 2	
