hgnc_symbol	D10_E1_L1	D10_E1_L2	D10_E1_L3	D10_E1	D10_E1_S1	D10_E1_S2	D10_E1_S3	D10_E1_S4	D10_E1_S6	D10_E1_S7	D10_E1_S8	D10_E2_L10	D10_E2_L11	D10_E2_L1	D10_E2_L2	D10_E2_L3	D10_E2_L4	D10_E2_L5	D10_E2_L6	D10_E2_L7	D10_E2_L8	D10_E2_L9	D10_E2_S1	D10_E2_S2	D10_E2_S3	D10_E2_S4	D10_E2_S5	D10_E2_S6	D10_E2_S7	D10_E2_S8	D10_E3_S1	D10_E3_S2	D10_E3_S3	D10_E3_S4	D10_E3_S5	D10_E3_S6	D10_E3_S7	D10_E3_S8	D10_E4_L1	D10_E4_L2	D10_E4_L3	D10_E4_L4	D10_E4_L5	D10_E4_L6	D10_E4_S1	D10_E4_S2	D10_E4_S3	D10_E4_S4	D12_E3_S10	D12_E3_S11	D12_E3_S12	D12_E3_S13	D12_E3_S14	D12_E3_S15	D12_E3_S16	D12_E3_S17	D12_E3_S18	D12_E3_S19	D12_E3_S1	D12_E3_S20	D12_E3_S21	D12_E3_S22	D12_E3_S23	D12_E3_S24	D12_E3_S2	D12_E3_S3	D12_E3_S4	D12_E3_S5	D12_E3_S6	D12_E3_S7	D12_E3_S8	D12_E3_S9	D12_E4_EVT10	D12_E4_EVT11	D12_E4_EVT12	D12_E4_EVT13	D12_E4_EVT1	D12_E4_EVT2	D12_E4_EVT3	D12_E4_EVT4	D12_E4_EVT5	D12_E4_EVT6	D12_E4_EVT7	D12_E4_EVT8	D12_E4_L1	D12_E4_L2	D12_E4_L3	D12_E4_L4	D12_E4_L5	D12_E4_L6	D12_E4_S1	D12_E4_S2	D12_E4_S3	D12_E4_S4	D12_E6_L1	D12_E6_L2	D12_E6_L3	D12_E6_L4	D12_E6_L5	D12_E6_L6	D12_E6_S1	D12_E6_S2	D12_E6_S3	D12_E6_S4	D12_EVT2	D12_EVT3	D12_EVT4	D12_EVT5	D8_E1_S1	D8_E1_S2	D8_E1_S3	D8_E1_S4	D8_E1_S5	D8_E1_S6	D8_E1_S7	D8_E1_S8	D8_E2_S1	D8_E2_S2	D8_E2_S3	D8_E2_S4	D8_E2_S5	D8_E2_S6	D8_E2_S7	D8_E2_S8	D8_E3_L1	D8_E3_L2	D8_E3_L3	D8_E3_L4	D8_E3_S1	D8_E3_S2	D8_E3_S3	D8_E3_S4	D8_E3_S5	D8_E3_S6	D8_E3_S7	D8_E3_S8	D8_E4_S1	D8_E4_S2	D8_E4_S3
ALAS1	1921.5411923374747	847.2714059879531	751.2956030858767	639.2434899861303	706.6586724165222	2148.8767647906116	858.3399442968548	2034.4708041274216	965.408954558302	772.0034975097769	660.5563699358164	524.183536060225	255.0661032442945	1594.2242406451999	811.3453898655379	978.5809874795282	1109.3858921002495	402.33231111364915	341.45890138105347	617.5135069925511	953.3579397762578	628.026203062809	1769.8906635415171	1384.4727415411228	2977.2323087012455	3448.7986360352547	1967.9989028516961	794.4353980745077	1481.964366655212	1061.7632195191486	1785.1668249267682	1511.8167201439633	704.0010063185952	1921.0649668991537	805.8584217775731	465.4539891185183	47.98834613240885	4894.54011256308	1067.0404037081685	723.9753865069887	575.2900787772717	3332.034890098398	501.8517313433135	580.3212119405213	941.6017101673144	1077.7282649770589	1594.9368680742914	3027.549818938212	114.44600196704612	590.9545880401621	559.1476780524413	0	325.0786831137269	274.68662735661445	432.98527969148194	557.7909508039555	133.6663240476573	246.49572395520556	1163.922417278883	276.7673052270332	162.79661690094625	700.1592141444833	394.2069441577538	312.65170547877443	4400.733489482217	1770.924941343454	1492.233704237226	1079.0688805355026	603.2396100806493	783.0845104097941	555.7554691080089	397.9052845511905	662.3781238916055	564.2808197186664	980.7144358230129	1963.5300694078271	152.13266761503976	4338.859944320104	826.5926975575424	873.1151749305151	2062.6985314667395	324.09123873182483	532.8843720571497	2024.8410253719542	1911.9473588647518	922.8576339630973	719.1280660436244	1548.4394912476769	942.8192340362139	1984.05737815099	1374.0159727728399	2367.6875253219496	2311.977926857817	1578.5646738436008	428.1358288381972	756.5525611454328	358.38680590825516	892.2780814395314	228.48313492724486	845.0400394732804	9326.054332571424	1686.8027371025396	12611.113451133793	7221.9237456192495	390.4569616350728	579.0183679807357	1051.2183062933927	390.71620770341286	1495.9819501563065	781.7297828517059	168.006406988317	2913.741405135627	1121.4724281051579	1914.8194667847933	562.6148648707438	3136.301356867997	1762.7946002788572	1108.8357333088338	935.2038717479189	633.0934511455766	552.2360180657479	690.0737392526905	2229.7892434864198	1334.2873320666106	216.30403224020438	397.5163684912415	254.10756452481044	382.1642436338276	526.516251511392	99.4203379454516	819.8835919060897	1768.678829447789	519.398770584006	765.6666029137918	134.94882919642566	181.91858859420032	325.8182235109201	6009.060681396136	1432.2301216506871
ANXA1	7947.318436405779	6592.692622914453	9683.608924905717	2311.393032025537	7972.922496402845	8440.677106447158	7681.274347599382	7663.872493073813	2700.4825557282024	3595.9865515975857	2186.188886841563	6178.770791651329	4106.821904761671	5314.080802150666	4386.070983889833	9611.863636017568	4047.4158835501657	2370.945965081258	1502.419166076635	2136.3559211274332	3876.637810360916	4918.064350745378	2866.8766860544133	2901.5895780801975	8309.067369068536	1487.9961102747247	297.6060116925023	4221.046942277708	7879.18749457392	2308.0421157917754	350.506688712771	2151.11980013337	653.9900058697332	1244.148110699778	617.5108774556028	2947.215045993001	1479.6406724159397	2395.542044887834	4458.656967804294	6380.400967264843	1954.2296569151595	3854.2019881250617	3455.278012352239	5411.636156008453	7772.137449339375	4250.880450983784	6043.032383755792	20500.916740905606	1438.5226636135658	1816.638178049387	2422.7691285601945	693.4028700248497	1967.4741218577656	1738.9883201591729	1617.820967529413	1738.3161713929221	1119.2541591942388	1524.1652264563545	6633.597044883568	1148.6999576275196	652.2815121120874	1995.4185055678627	1609.5791088495598	1937.0475713202286	12177.009547280184	6172.956887413511	4095.2968605660335	5869.50158296384	3024.021042464811	3686.79942015707	4098.696584671566	1275.5925179746819	307.96543869960317	602.2893723422036	989.8071524465374	2396.6982073492504	1557.9768188031119	9889.181462767629	492.5679435445355	142.28543591460246	3907.3528207065506	1009.8000701538963	3782.505736816617	24982.250748520062	5783.332949353545	2432.988307720893	4769.4960145611485	3432.714038691596	3782.4767326614847	2623.3121419943877	2433.507064083439	4526.628888913671	3687.7858206926694	3281.5316755513404	17953.570171023486	2867.7431540715393	1422.3476359483877	2603.880690490205	5596.156782666564	7216.182795036383	2260.9202643666517	944.1371168543457	3901.9195506130054	5501.815813212564	485.7133701499094	393.4674174404141	26618.735578162625	1046.3129761452603	409.75657987138453	279.4233290905993	399.640772367954	1592.4726165480688	5108.845125173394	5286.53854822301	283.10574478884	13193.141408811942	1182.7418024342894	452.4699658996487	351.1459404376692	230.41403445826384	278.3999760496746	93.81901398828714	208.37210875175793	123.74186967175125	20382.882293890885	41659.91618372478	7179.61542479422	27275.890709062893	116.06700618293003	52.45490222888858	132.97395173387298	1474.9190238647652	103.87975411680121	2225.2185647182073	78.05148499468945	55.24934912860898	807.4426298540665	6942.725112078144	945.2824776266466
BTG3	246.03424422632904	389.252760606528	165.73770835810885	140.01778278365927	73.63978149430692	387.88977627619687	151.73819595749148	50.337421957791875	76.9171587901405	22.959211821852104	135.79546396606878	169.4215767309621	171.3322814721776	103.62457564193798	67.84769810722267	97.11109036056386	81.32954993632987	94.37424581678191	127.86546094269235	123.84672006535845	92.7022085086306	137.10431193624706	504.1375606420214	93.26537929543493	333.3346043151866	1443.7199242091642	107.64472763345827	23.027112987666893	132.34572744792132	140.4617608503985	995.9224534459424	86.4409798295536	183.3736683124938	128.4888477045111	104.93648897938347	143.59750728124502	350.1371921512794	1.783724530817449	330.3695631955378	74.55573085979829	674.0994434527572	177.9582934978765	149.9786783324845	140.15038977689773	193.224517607251	42.88043494603682	78.04654370164306	976.7634340126493	112.85647416194826	101.66960654454401	206.38857338846955	0	159.8190178487988	188.6736430328261	163.79598177476217	32.47165949052781	143.3289498824277	39.71319997056089	45.64401636387776	37.77603887499896	19.710801149441924	165.69729639874478	97.6585178880236	91.3190624913252	83.81509252221544	39.541149861621776	74.27785216840778	63.31271492937898	79.09914195582002	71.73805018308902	59.996329051432774	65.04220997471384	213.05150021513532	508.7298581919584	68.84485443525786	50.88794743724457	43.565263907943205	219.89059228687483	190.38733443743394	154.14255557415268	77.62375023278638	68.91203181455643	374.72234382100936	48.56938770536532	191.72241225046727	69.69833878882135	271.6020163598238	128.33696790356422	102.83449528904708	107.01598268785769	106.31826979005317	355.5010390678428	365.15803498022785	167.27069760110572	79.51093964137948	291.3749728735789	33.59876305389892	5.611811832953028	650.1689207120866	110.41273478240792	1364.4818190852634	169.51394886862425	184.71974494427437	67.19171610963619	86.76821369668285	72.06666382592847	32.451079614295566	20.85673706601848	82.06529555143167	63.09559043981274	343.1620227846475	222.10007080888624	574.8595904446453	175.3735603907375	34.424836480675644	555.4777008566114	345.20215286359644	234.76448859066153	181.35132113742915	224.59916923534234	509.20464003465065	58.15228139769864	346.8253371582416	320.6039350586282	120.72783194802105	198.75818424562075	123.82360135742883	159.54429588596685	117.36384424083987	75.0227090017825	129.30063815006432	93.83993789457703	48.4185294612209	780.8929274035547	153.18515746621293	44.46898832302674	126.47796018145424	328.8943037821124	110.74217366814415
CDO1	8.246957907027788	35.96014157953338	15.332563328283197	87.96928761277022	39.65219003539603	43.18940786268578	27.176990320744743	20.973925815746615	22.18764195869438	88.9669458096769	66.5988188494459	7.95940293366936	27.05246549560699	13.285202005376664	7.067468552835695	29.88033549555811	25.415484355103082	24.835327846521555	43.59049804864512	13.760746673928717	27.389288877549948	22.113598699394686	1.081840258888458	39.37871570251696	4.555826027086833	0	143.10416732447982	46.054225975333786	41.55040280341716	8.938475690479905	0	15.307256844816783	156.4446680707989	65.81136101938372	1.345339602299788	0	0	0	14.65348869012466	3.9239858347262255	24.885321473826	18.732451947144895	5.768410705095557	27.466659303010108	16.674196950879526	28.586956630691216	15.05183342817402	0	22.25338927137008	16.238895489753556	29.396592055330974	0	29.2434798616951	34.68265496926951	15.439785167293154	0	10.736250927522676	7.53181378752017	21.976748619644848	23.899126635203423	13.505548935728726	0	0	0.7738903600959762	0	35.003640861107804	15.85706956404211	10.322725260224832	55.630165771126165	26.817962685266924	26.524692843791332	52.03376797977107	0	38.98313089593551	10.391676141170997	31.029236242222296	93.35413694559259	89.01737114026301	0	0	97.68382051766376	0	0	61.967839486155754	61.56224246574637	52.919109080401384	131.68582611385395	44.37820385450352	41.744696107434955	50.193337012889	22.88796085758089	9.488461896828545	17.585514432475563	31.10058196603473	2.446490450503984	5.111841629361033	0	0	53.76073762993997	26.236689453245447	12.571412932748705	18.75769106333137	18.243925426595	132.0119598859911	5.6587965454358375	0.8283524577692929	75.71918576668965	20.85673706601848	21.656119659405583	78.66463223664965	15.013338496828327	0	0	0	16.441712945994336	25.48062847966107	1.4147629215721165	41.429027398352034	112.90008717869364	9.449155987247412	0.651990576228746	21.710185055140826	12.460790556583532	9.999343003777879	20.121305324670175	53.202948308171216	23.687993303160297	51.94465447450084	28.53043727401632	112.2290931408779	180.72702832338535	0	34.33313907250209	10.875946064116361	24.801406446910665	14.82299610767558	116.39638364525136	0	0.5298668596561921
CEBPA	204.11220819893776	267.4929829775816	162.8172201051025	256.5770888705798	465.9132329159034	730.1454612257822	228.73966853293493	696.3343370827876	600.5455090153278	223.85231526305802	276.5504144422027	93.23872008012678	316.9003100913962	182.0072674736603	226.15899369074225	130.1928903735032	237.6347787202138	259.9430981269256	158.37880957674395	125.56681339959954	249.66390246074377	126.7846325431962	494.40099831202525	474.6171524145466	348.5206910721427	178.6860366217257	392.5866537220243	14.170531069333471	49.244921841087	113.64633377895879	299.7436510371283	777.0683915927578	147.46833465690062	115.95335036748563	37.66950886439407	324.82746474654044	10.664076918313079	1835.4525422111549	528.8577281799536	321.7668384475505	114.91163151149065	56.19735584143468	536.4621955738868	48.594858766864036	138.29775118082432	534.5760889939257	128.77679710771105	229.9492863856237	81.065918059991	100.9635676102069	169.0304043181531	231.13429000828322	74.80890197177816	163.00847835556667	85.92576093102277	29.58528975803645	14.493938752155612	82.84995166272186	120.02685784575263	148.79133679336326	22.99593467434891	150.89030395460165	79.7941548597266	38.694518004798816	459.65961267446573	206.78076730913685	171.08943476992803	131.44270164686287	165.1520546330308	73.07894831735237	110.51955351579721	126.25840759797391	273.63486520522116	8.77120445158549	5.1958380705854985	29.788066792533407	16.596291012549795	123.20947396235078	126.02150962762532	66.83103808110116	40.12014056975476	0	356.4728790245316	1126.3073528226957	337.71287295495154	309.7703946169837	166.66487367534643	219.4921974425444	143.56102807678852	313.47159530691056	358.8241605414294	908.3620855897193	260.6793904108142	302.6002569668244	873.3970908299224	138.01972399274788	0	342.3205218101347	174.7223972973049	402.29590494976355	669.1859807278541	192.44001572380702	982.1313187983642	1135.1447568639715	21.692053424170712	86.97700806577575	236.00785174033138	115.40727843196892	24.50560908827474	101.60848330567246	38.60572756327284	184.32794992302124	31.30045578782265	25.331736500884308	156.1962729869462	907.1103738759342	415.9402989422022	1228.2488122805544	368.92548172565245	130.8344675157334	416.6219782101687	331.0803220908976	300.4435056420696	218.11066926990497	60.363915974010524	193.73903817881217	275.64210389131983	201.59473046056277	295.030658174487	157.36470668666576	287.98778497059783	155.0398973910403	89.7943637280824	202.29259679256432	183.09273582866402	185.96122389629363	1.8330139156732497	106.03696132865919	137.23551665095374
CGB3	8011.919606677497	9845.508236670139	13407.231447488779	8845.311869464045	12918.11705367438	9485.371840031368	13516.778102581518	11728.619316165506	11921.173495051393	7873.5747041564055	7994.692254224975	25688.404439636884	27979.97859831352	20396.770638854792	20552.1985516462	17278.304000306478	20337.470580953486	13113.05310296338	35359.1590004593	32884.74436402115	17626.06082689099	39794.15797951738	5671.006637093296	5423.899947025627	10250.608560945375	6125.926600642171	43013.56675376953	25540.610936089917	18172.14561126487	23571.39885834483	17212.29570330542	4996.468719522843	7106.691397117767	16109.68101524486	9064.898240295972	2053.939517940015	122.6368845606004	89173.74046915672	30816.28671533216	56937.034461877534	6712.449506954655	32487.92556758273	35606.47647898651	14929.890014474648	25232.964162254513	25336.619661781624	14181.056990588544	2123.0363117657585	1389.247301655532	1294.8754055742618	4352.532911192442	1964.6414650704073	1636.2747104008934	3753.356920774346	5272.350987126975	725.2003952884545	488.49941720228173	1193.450130149787	12274.014104071648	1364.5630369132277	245.6549846958225	1814.2091218466824	1374.9604744112592	1468.070013102067	19355.99278784089	5579.839639489184	4086.1164518710616	11546.312294403482	9280.676249036156	5417.228462423918	6677.275653271566	3552.835069559957	177.71120397091855	831.3152663558246	3734.508613233327	6605.503811244283	3257.022111212897	6477.045408728938	808.2992526115968	2471.670489031693	16271.333531942279	2074.8662252283775	29530.06730267383	8928.393305424224	18925.11279457709	37912.024171186094	30392.677148870887	29452.734428410495	26464.101005474375	26420.636150671275	14273.966040632624	11019.899646976672	39841.53460981155	29561.52343685069	9448.3461198463865	25002.01740920481	28379.755192859953	49187.530715833294	51605.268055589564	34401.76585017421	11831.633633244648	11882.649923971103	21665.421607641005	15243.82415833205	1256.252833086756	858.1731462489873	10903.56275040331	781.4324154068257	16.527038687441102	23.763274321487913	25.73715170884856	388.2974027066923	50.38609956088524	444.2796863232017	79.12574355259775	1076.010539798259	107.52198203948085	43.053695139463876	54.22760092834891	7.268581528651856	23.471660744234857	17.058002543324935	32.53650867552366	44.99704351700045	14723.7651713274	11871.284277215713	12018.426420448874	13388.116302058846	116.06700618293003	64.65371670072314	120.48468554892358	52.019965571993794	96.8370589224418	367.606976967133	67.10968803281709	215.60721611164482	686.463711419632	13802.777339052587	593.4508828149351
CLIC3	1051.487133146043	697.1220429014804	307.38138862891554	155.41240811589404	889.3419765081682	223.28108970520574	693.0132531789909	381.7254498465884	233.21676992138757	152.1047783197702	438.08797505575234	1998.9471939129621	2187.3850672162225	840.9532869403429	224.7454999801751	638.1585937979911	649.3656252728838	448.6915897604894	3232.9619386078466	1389.8354140668005	496.1675023586933	350.869099363729	14.063923365549952	2537.854598828001	55.4292166628898	8823.611365922385	338.13108562509836	200.1587513543353	23.853009016776515	365.2005782110361	199.42621944002488	1266.0001837536704	471.89867090208196	128.4888477045111	139.91531863917797	29.70982909267138	3.5546923061043594	2420.514188319278	857.8951560400255	900.5547490696688	244.46168741934954	189.66607596484204	388.4063208097675	857.8048982324696	4294.096132408857	327.3206534214144	850.7073263479093	531.4537887764415	122.39364099253544	151.09233194814178	491.78048792564107	0	365.88353873469686	396.76957284844315	596.7812614662441	328.3245570708923	83.74275723467687	82.16524131840185	1076.8606823625976	188.8801943749948	352.2393168372492	229.15583544507257	93.4901665147543	223.65431406773715	1137.2384659066915	559.4100382062228	368.8855130161375	1203.6297653422155	1101.3034380002632	780.4027141412674	1376.1263263481264	661.1349343312089	398.84048618473196	2542.6747126873934	579.3359448702831	1047.5470155374248	62.92760342258463	244.65039088217978	82.65926975575424	245.76575294340427	5071.709074198347	329.54961748941344	35.28229860652361	4626.652880554197	2569.7838926415843	2913.132419377218	2514.376242361399	1176.6221076018364	1886.6566313921214	1662.0623859928342	391.31029853283457	389.02693776997035	324.81479598807806	296.7163630813584	133.33372955246713	812.7828190684041	694.3744364472443	639.7465489566453	882.0121017412026	195.68197550545563	418.7247538369377	160.48246798627952	450.7769907487848	3511.360034811811	1633.505936115812	1544.048981281962	8579.868776809963	533.9324688900731	31.34438371756071	35.23519985599932	40.75049020567689	385.2756330358231	403.8522222380044	213.6959309946394	64.7392447248527	663.2243584277496	26.88049550987021	1220.9378074455512	47.11578441315561	5.088007070056299	31.29554765897981	31.014550078772608	615.42460026682	338.72774425297564	2801.891766460322	3838.642911895221	2164.221206334191	3736.304789701596	693.1599419528056	79.90223479051633	96.97547861254824	95.87993654445914	58.10223535346508	244.70878644261813	43.03773471669792	660.2970993419123	82.02737272637792	6.290328214411986	64.64375687805543
EZR	3866.4487654115283	1861.095046660061	2844.5555584281587	1930.9258631003063	3005.7776196474315	3254.6885849729624	2615.7853183716816	5176.364891326264	1999.35306983346	1982.3844457430425	2484.7027415426255	3163.294137352594	2567.4077967973685	2036.6214674242428	1882.7736224754292	2440.5831170836213	3169.3108990813544	4316.379979725446	2082.1727901236154	2495.855427983821	3144.501049980254	7813.471540452789	736.7332163030399	5722.349160771018	3409.2764769366468	5211.939616860247	11419.205989069333	7363.362206902405	20195.03466626827	7717.735296180078	12491.33319947065	10133.40403126871	3791.8597006996097	4500.243543992145	4490.743592476692	2639.223151065641	2253.674922070164	16428.102928828703	6199.757851258197	5946.800532527595	1176.1974002481877	6308.153193201043	5503.063812661161	3231.9102446541892	3898.8195811615365	4170.836972417848	11356.32958390122	1640.2122814394488	3299.859723383163	2522.6771123864983	2730.2084871388643	2195.7757550786905	2567.305499486023	3268.493404303958	2382.425980814061	3740.735173308804	3431.842608982623	2520.418777441977	2151.185586038313	2672.847485298396	2894.202635443056	4172.046394856906	3260.2462526642025	2448.5890993436687	4810.104046643353	2662.221352158699	2835.911704137636	2738.2749206956405	2473.8039341347667	2372.048799511859	1705.1588256723	2223.6783786649225	942.0713255958353	1149.027783157699	1849.7183531284375	3523.680067666764	1723.9397289286098	9935.163945873195	1927.5870693042689	1427.1660390222246	4497.816628657071	1642.9720060341772	9510.40442093776	5729.512942760509	7466.620550488382	3927.6304617478395	5252.001111806441	4340.668101336439	3269.3224195359426	5037.3275390859735	5748.569781842736	11457.634022483695	5638.7434806720175	16960.74440299051	2715.6044000594225	3184.6773350919234	1926.3290817568713	1936.0750823687947	1789.2245492464397	3518.9959729165457	4155.335490155476	1586.7617180981056	2864.296291975415	14510.248716570375	1758.942592872973	4166.612862579543	7296.576082971911	3296.059680999787	853.707032889199	1159.4839022381173	1316.8842624360848	1664.9950886489296	428.28184626752454	808.0174412076943	1246.4873627181958	1484.428613429398	1242.1618451403183	2069.82670217649	2514.0271381208313	1092.467803756374	1848.393283608495	1290.2052832769405	1057.090398883503	748.0758484701325	1167.0357088308701	1617.1688627257327	1246.849829320892	1233.067155025651	1692.3736655723317	1452.2688628719036	1975.5080453722896	1005.71933439188	1056.4042791539107	825.4843062664318	1726.6155605834572	1280.167845662891	2468.1532374540307	14774.183739021066	1097.3542663479739
FDX1	2904.9909227505386	3990.9448356513712	3892.2807191941774	1023.3760458952269	3185.628624450835	1710.463530259952	4262.257981970134	1862.4846124382993	1270.1192374577047	925.5432265684129	1212.7125347230665	9040.74467508644	6511.914908585398	5715.2939027130415	4541.555292052218	6105.192834645998	5334.710166136137	4463.736258281474	6826.271994417826	7069.583603730878	5223.980136298854	10962.447995246592	432.7361035553832	6124.42657373356	1007.5968563240378	1584.454944203267	6224.398074334676	6926.732718328568	5496.194948607569	9098.091327809903	5257.6003306915645	4179.781545508206	1549.0586805698779	1737.733318345156	3012.2153695492257	328.78877529222996	316.36761524328796	7734.229565624459	6709.965684741628	9435.22393959921	1324.7774078713253	1947.0042242563725	5553.0567054386565	6531.430727592711	6284.210580252066	10767.277214949847	7911.132154785833	854.4943270523177	557.9242595893498	482.930631086584	783.2966924743399	1040.1043050372743	298.5555269600965	917.0093973874857	769.9753733428369	401.92698524942205	372.0110946386607	301.2725515008068	1449.620149334266	424.0167628826414	281.79145346979936	437.8639194196617	312.6263529951975	416.3530137316352	2049.4995782011206	943.8018721069067	732.7635303804723	1367.417006137783	1348.1622986096356	1256.4215518047554	1758.8397516656871	532.5809193223627	975.3921763403825	273.85649454394695	287.0700533998488	1139.3935548144027	292.5096290961901	7552.328090582181	645.0133180940823	803.0503769422639	3811.4133541267024	449.63395015636326	17756.72924697283	1452.8946149794626	5760.466973580554	11741.588665961253	7802.385197245847	5697.201846186263	8466.028003251748	7719.356414944496	1957.2898139821593	3952.2606620923166	4677.7468390385	7135.482170531591	1954.7458699526833	5597.466584150331	5454.199202416258	6195.440263580143	5019.908876195645	7454.499390903363	1370.2840096696088	1187.2923713790117	3034.5729292903015	6438.547384858668	451.76059087729436	458.90726160418825	4718.190302708791	337.87914046949936	355.04638283709676	237.63274321487913	265.2356467773004	336.1718758841986	508.4415501143874	442.33109120774907	194.73153770412043	1202.6856642400026	215.0439640789617	317.6225433873656	125.3457660802819	190.43683605067864	225.58873937514613	132.5872015867529	146.0681559688403	162.48932381139053	3113.7719989927095	5679.665689200618	2843.635923347561	3261.3822345061594	184.79942325215117	173.22316550005067	205.70556069328416	202.9798656632699	178.7083905568699	351.2930578709585	150.99679807383845	242.5581181256004	191.0917007089363	959.7243618560002	385.74307382970784
INHA	137.44929845046315	88.32315475674865	29.93500459331481	132.6870088159284	116.12427081794553	118.9745952443797	100.40388090719586	142.62269554707697	117.34797302598359	145.6474999948743	149.72925939910888	281.9902753642859	79.86918384417302	70.41157062849632	180.9271949525938	101.37970971707216	388.8569106330772	114.24250809399915	104.6171953167483	440.34389356571893	309.70965115383405	51.59839696525427	1.081840258888458	11.39910191388649	1.518608675695611	148.64148179152403	67.11965370086222	286.06759596216943	6.92506713390286	47.88469119899949	1.208643754181969	2.70128061967355	0	238.17444940348398	118.38988500238135	0.9903276364223793	0	0	47.95687207677162	94.17566003342941	1.4638424396368237	36.29412564759323	76.91214273460743	35.91793908855168	135.35524583655146	41.451087114502265	49.6153027817588	5.557686680015074	51.65965366568054	23.29928483312467	193.52756436426225	115.56714500414161	5.440647416129321	85.31933122440299	36.92122540004885	48.346693019230294	12.346688566651077	47.92972410240108	201.17177582597975	2.3128187066325894	3.2851335249069873	16.922277079020745	27.3920233100554	20.89503972259136	711.1048902411121	328.64529475151215	224.50272172249095	263.5735849777407	207.74390030154927	114.6467904795161	106.09877137516533	102.53713101896064	230.2167869623263	1148.0532048853006	6.494797588231873	294.15715957626736	45.63980028451193	887.2261163317604	34.55428489789726	268.40207229345464	2034.7888684616926	4.77608141289005	1085.234839897209	1105.3722719152108	1458.1456858315355	1503.6771238699419	1161.5101381448526	1909.4621766586379	1883.6021414330407	2564.5954081302534	522.7314931344281	891.2828541754279	2397.836614969315	1067.5064620774085	47.706563784827694	25.55920814680516	0	263.7551561487923	307.4442183212192	292.9763655612408	171.1646222381939	192.44001572380702	424.1712661683337	364.4162485475563	64.1330275149395	13.253639324308686	4609.036671278888	5.561796550938261	0.569897885773831	0	0	0	0	0	0	0.728017956561745	0	0	0	0	0	0	0	0	186.12207425319912	293.11813030162256	232.57302515830108	210.25217287297957	0	0	4.4079763005703745	0	0	2.1751892128232724	0	1.34754510069778	0.9165069578366248	2.6958549490337083	2.6493342982809605
